time	-4.95	-4.70	-4.45	-4.20	-3.95	-3.70	-3.45	-3.20	-2.95	-2.70	-2.45	-2.20	-1.95	-1.70	-1.45	-1.20	-0.95	-0.70	-0.45	-0.20	0.05	0.30	0.55
0.00	-5.14	-4.84	-4.60	-4.27	-4.01	-3.81	-3.53	-3.28	-3.02	-2.76	-2.61	-2.26	-2.09	-1.72	-1.50	-1.27	-1.05	-0.79	-0.57	-0.26	-0.02	0.19	0.37
0.02	-4.97	-4.64	-4.46	-4.22	-3.99	-3.80	-3.49	-3.31	-3.15	-2.80	-2.46	-2.23	-1.91	-1.53	-1.35	-1.02	-0.74	-0.65	-0.32	-0.17	0.04	0.30	0.47
0.04	-4.95	-4.74	-4.51	-4.16	-3.90	-3.72	-3.43	-3.26	-2.92	-2.77	-2.62	-2.17	-1.88	-1.60	-1.31	-1.07	-0.92	-0.61	-0.47	-0.08	0.18	0.37	0.56
0.06	-4.97	-4.81	-4.51	-4.16	-3.99	-3.74	-3.58	-3.33	-3.07	-2.86	-2.47	-2.19	-1.83	-1.51	-1.35	-1.04	-0.86	-0.57	-0.41	-0.12	0.15	0.27	0.56
0.08	-4.98	-4.69	-4.47	-4.31	-4.04	-3.75	-3.45	-3.34	-3.02	-2.65	-2.68	-2.12	-1.75	-1.58	-1.32	-1.20	-0.98	-0.69	-0.41	-0.10	0.22	0.30	0.61
0.10	-4.89	-4.72	-4.51	-4.24	-3.93	-3.76	-3.56	-3.24	-2.99	-2.85	-2.53	-2.11	-1.77	-1.56	-1.25	-1.15	-0.85	-0.73	-0.45	-0.12	0.16	0.26	0.52
0.12	-5.02	-4.67	-4.45	-4.19	-3.97	-3.70	-3.48	-3.24	-2.97	-2.80	-2.60	-2.17	-1.75	-1.60	-1.32	-1.11	-0.92	-0.61	-0.40	-0.23	0.15	0.27	0.47
0.14	-4.92	-4.84	-4.53	-4.21	-3.98	-3.80	-3.57	-3.35	-3.11	-2.72	-2.52	-2.08	-1.86	-1.63	-1.39	-1.05	-0.93	-0.63	-0.40	-0.21	0.10	0.34	0.57
0.16	-5.00	-4.63	-4.54	-4.20	-3.90	-3.67	-3.49	-3.26	-3.06	-2.82	-2.42	-2.21	-1.96	-1.57	-1.32	-1.10	-0.91	-0.64	-0.32	-0.05	0.10	0.34	0.63
0.18	-5.02	-4.79	-4.35	-4.25	-3.99	-3.71	-3.46	-3.30	-3.02	-2.85	-2.54	-2.19	-1.88	-1.54	-1.33	-1.17	-0.80	-0.69	-0.37	-0.16	0.02	0.25	0.57
0.20	-4.94	-4.68	-4.46	-4.20	-3.96	-3.72	-3.50	-3.29	-3.03	-2.75	-2.49	-2.19	-1.88	-1.53	-1.29	-1.13	-0.86	-0.63	-0.42	-0.21	0.04	0.22	0.46
0.22	-4.95	-4.76	-4.60	-4.25	-4.01	-3.78	-3.55	-3.30	-3.04	-2.75	-2.49	-2.16	-1.85	-1.61	-1.32	-1.16	-0.93	-0.61	-0.43	-0.22	0.04	0.32	0.54
0.24	-5.01	-4.76	-4.44	-4.23	-3.95	-3.65	-3.44	-3.17	-3.01	-2.81	-2.48	-2.14	-1.83	-1.58	-1.35	-1.19	-0.97	-0.68	-0.41	-0.21	0.03	0.31	0.51
0.26	-4.97	-4.73	-4.46	-4.20	-4.01	-3.76	-3.56	-3.35	-3.06	-2.79	-2.53	-2.28	-1.80	-1.55	-1.35	-1.08	-0.80	-0.55	-0.32	-0.07	0.08	0.29	0.59
0.28	-4.96	-4.69	-4.58	-4.23	-4.01	-3.75	-3.57	-3.17	-3.04	-2.83	-2.53	-2.15	-1.85	-1.55	-1.35	-1.12	-0.85	-0.63	-0.53	-0.14	0.07	0.22	0.52
0.30	-5.05	-4.74	-4.51	-4.26	-3.95	-3.74	-3.56	-3.31	-3.03	-2.84	-2.52	-2.14	-1.89	-1.61	-1.39	-1.08	-0.93	-0.65	-0.43	-0.18	0.09	0.28	0.53
0.32	-4.87	-4.75	-4.42	-4.22	-3.96	-3.71	-3.53	-3.30	-3.18	-2.73	-2.51	-2.16	-1.94	-1.59	-1.36	-1.18	-0.97	-0.66	-0.38	-0.19	0.08	0.23	0.57
0.34	-5.02	-4.71	-4.52	-4.19	-3.95	-3.71	-3.53	-3.25	-3.13	-2.72	-2.53	-2.18	-1.87	-1.58	-1.36	-1.03	-0.87	-0.65	-0.46	-0.20	0.07	0.19	0.51
0.36	-4.96	-4.78	-4.47	-4.28	-3.94	-3.73	-3.54	-3.38	-3.21	-2.80	-2.59	-2.12	-1.84	-1.60	-1.39	-1.14	-0.91	-0.55	-0.36	-0.10	0.13	0.31	0.57
0.38	-4.95	-4.68	-4.45	-4.30	-3.93	-3.72	-3.54	-3.24	-3.07	-2.76	-2.50	-2.14	-1.78	-1.52	-1.43	-1.03	-0.82	-0.62	-0.38	-0.18	0.08	0.29	0.59
0.40	-5.02	-4.82	-4.47	-4.26	-4.05	-3.82	-3.50	-3.31	-3.10	-2.78	-2.60	-2.23	-1.77	-1.56	-1.43	-1.14	-0.88	-0.67	-0.44	-0.13	0.08	0.29	0.52
0.42	-4.91	-4.69	-4.50	-4.21	-3.91	-3.74	-3.52	-3.23	-3.10	-2.74	-2.57	-2.14	-1.83	-1.55	-1.46	-1.07	-0.88	-0.62	-0.42	-0.25	0.04	0.29	0.45
0.44	-4.94	-4.68	-4.50	-4.20	-4.01	-3.79	-3.51	-3.38	-3.02	-2.76	-2.55	-2.13	-1.79	-1.56	-1.40	-1.14	-0.90	-0.62	-0.43	-0.14	0.04	0.24	0.51
0.46	-4.96	-4.70	-4.41	-4.14	-3.99	-3.66	-3.54	-3.27	-3.03	-2.82	-2.56	-2.21	-1.92	-1.55	-1.29	-1.04	-0.81	-0.68	-0.40	-0.05	0.09	0.25	0.47
0.48	-5.00	-4.78	-4.46	-4.30	-4.00	-3.78	-3.46	-3.26	-3.07	-2.75	-2.53	-2.12	-1.85	-1.47	-1.25	-1.12	-0.85	-0.67	-0.44	-0.13	0.05	0.28	0.47
0.50	-4.92	-4.70	-4.51	-4.25	-3.95	-3.76	-3.60	-3.29	-3.14	-2.72	-2.57	-2.20	-1.81	-1.53	-1.29	-1.13	-0.93	-0.60	-0.41	-0.14	0.02	0.31	0.48
0.52	-4.97	-4.72	-4.51	-4.25	-4.04	-3.67	-3.45	-3.22	-3.03	-2.70	-2.50	-2.08	-1.84	-1.48	-1.27	-1.18	-0.86	-0.61	-0.32	-0.14	0.10	0.29	0.43
0.54	-5.01	-4.73	-4.54	-4.29	-4.00	-3.77	-3.57	-3.35	-3.03	-2.81	-2.53	-2.09	-1.80	-1.63	-1.41	-1.09	-0.90	-0.65	-0.36	-0.15	0.15	0.29	0.56
0.56	-4.95	-4.76	-4.45	-4.23	-3.97	-3.77	-3.56	-3.28	-3.07	-2.83	-2.55	-2.10	-1.89	-1.59	-1.43	-1.10	-0.94	-0.59	-0.37	-0.23	0.05	0.29	0.54
0.58	-5.04	-4.76	-4.55	-4.16	-3.94	-3.75	-3.51	-3.21	-3.07	-2.74	-2.54	-2.11	-1.84	-1.53	-1.42	-1.07	-0.87	-0.63	-0.29	-0.20	0.04	0.34	0.49
0.60	-4.90	-4.71	-4.37	-4.25	-4.00	-3.76	-3.58	-3.28	-3.09	-2.72	-2.60	-2.24	-1.82	-1.46	-1.39	-1.15	-0.91	-0.62	-0.44	-0.13	0.12	0.37	0.57
0.62	-4.94	-4.76	-4.41	-4.23	-3.96	-3.74	-3.53	-3.37	-3.11	-2.74	-2.58	-2.12	-1.79	-1.52	-1.38	-1.16	-0.86	-0.60	-0.37	-0.14	0.14	0.32	0.59
0.64	-5.00	-4.74	-4.50	-4.21	-4.00	-3.68	-3.47	-3.18	-3.04	-2.77	-2.51	-2.22	-1.78	-1.51	-1.37	-1.13	-0.91	-0.69	-0.31	-0.06	0.07	0.29	0.59
0.66	-4.87	-4.64	-4.46	-4.25	-3.89	-3.67	-3.54	-3.25	-3.03	-2.73	-2.60	-2.18	-1.74	-1.46	-1.38	-1.17	-0.94	-0.68	-0.53	-0.19	0.01	0.32	0.51
0.68	-5.03	-4.69	-4.46	-4.13	-4.00	-3.80	-3.52	-3.38	-3.05	-2.81	-2.51	-2.28	-1.86	-1.52	-1.27	-1.14	-0.86	-0.60	-0.43	-0.14	0.05	0.30	0.54
0.70	-4.88	-4.70	-4.45	-4.24	-3.97	-3.64	-3.52	-3.21	-2.99	-2.70	-2.56	-2.11	-1.82	-1.45	-1.24	-1.09	-0.92	-0.72	-0.30	-0.14	0.13	0.18	0.47
0.72	-5.02	-4.71	-4.46	-4.24	-3.99	-3.83	-3.50	-3.27	-3.04	-2.81	-2.35	-2.11	-1.88	-1.58	-1.39	-1.18	-0.86	-0.70	-0.43	-0.17	0.11	0.12	0.51
0.74	-4.91	-4.69	-4.52	-4.23	-3.99	-3.77	-3.60	-3.30	-3.17	-2.75	-2.59	-2.16	-1.84	-1.48	-1.40	-1.15	-0.98	-0.69	-0.43	-0.23	0.06	0.26	0.50
0.76	-5.02	-4.67	-4.43	-4.23	-3.98	-3.79	-3.52	-3.22	-3.04	-2.72	-2.56	-2.19	-1.83	-1.51	-1.39	-1.12	-0.87	-0.60	-0.36	-0.17	0.10	0.32	0.49
0.78	-4.94	-4.76	-4.49	-4.16	-3.99	-3.65	-3.55	-3.29	-3.13	-2.73	-2.47	-2.20	-1.78	-1.50	-1.41	-1.10	-0.89	-0.64	-0.37	-0.14	0.06	0.22	0.47
0.80	-5.02	-4.71	-4.46	-4.21	-3.97	-3.87	-3.46	-3.29	-3.08	-2.82	-2.54	-2.14	-1.82	-1.52	-1.41	-1.17	-0.92	-0.68	-0.36	-0.17	0.03	0.31	0.44
0.82	-4.90	-4.65	-4.45	-4.22	-3.92	-3.67	-3.58	-3.24	-3.03	-2.79	-2.46	-2.16	-1.91	-1.57	-1.31	-1.17	-0.93	-0.58	-0.42	-0.18	0.06	0.41	0.52
0.84	-5.02	-4.69	-4.44	-4.29	-3.98	-3.69	-3.50	-3.33	-3.10	-2.77	-2.55	-2.10	-1.94	-1.55	-1.32	-1.07	-0.81	-0.64	-0.45	-0.23	0.06	0.27	0.60
0.86	-5.00	-4.80	-4.53	-4.16	-3.98	-3.82	-3.45	-3.27	-3.02	-2.74	-2.47	-2.09	-1.76	-1.61	-1.31	-1.08	-0.94	-0.73	-0.43	-0.25	0.05	0.31	0.50
0.88	-4.85	-4.68	-4.39	-4.23	-4.04	-3.69	-3.59	-3.30	-3.08	-2.82	-2.60	-2.11	-1.90	-1.60	-1.39	-1.11	-0.90	-0.61	-0.45	-0.17	0.05	0.39	0.57
0.90	-5.02	-4.77	-4.46	-4.23	-3.96	-3.82	-3.45	-3.30	-3.00	-2.77	-2.45	-2.17	-1.89	-1.57	-1.31	-1.12	-0.84	-0.66	-0.43	-0.15	0.07	0.34	0.61
0.92	-4.99	-4.65	-4.41	-4.24	-3.95	-3.68	-3.49	-3.26	-3.09	-2.80	-2.46	-2.17	-1.85	-1.59	-1.37	-1.15	-0.90	-0.68	-0.40	-0.16	0.08	0.30	0.56
